Book	Reference	ID	Quote	Occurrence
EXO	15:21	hvu1	ס֥וּס וְ⁠רֹכְב֖⁠וֹ רָמָ֥ה בַ⁠יָּֽם	1
EXO	16:34	x9vr	wafers	0
EXO	21:1	xxf4	you must set before them	0
EXO	21:8	lpqh	has designated	0
EXO	21:9	h9ni	he has treated her deceitfully	0
EXO	21:10	i0xh	designates her as a wife for his son	0
EXO	24:1	hji6	Nadab … Abihu	0
EXO	24:3	sbc3	with one voice	0
EXO	24:3	nuqr	with one voice	0
EXO	24:9	izl5	Nadab … Abihu	0
EXO	25:24	f20e	two cubits … one cubit … a cubit and a half	0
EXO	26:10	etf7	loops	0
EXO	26:36	tiz7	The table must be on the north side	0
EXO	26:37	av60	an embroiderer	0
EXO	27:11	gjg5	there must be hangings one hundred cubits long	0
EXO	27:16	kn9u	blue, purple, and scarlet material and fine twined linen	0
EXO	29:10	wjko	tent of meeting	0
EXO	30:4	qyg4	to be attached to it	0
EXO	32:1	oan6	the people saw	0
EXO	32:7	iajs	to carouse in wild celebration	0
EXO	33:4	qwuu	jewelry	0
EXO	33:7	wsfe	a stubborn people	0
EXO	33:12	ohra	See	0
EXO	33:12	hlsl	הַ֚עַל אֶת־הָ⁠עָ֣ם הַ⁠זֶּ֔ה & דַעְתִּ֣י⁠ךָֽ בְ⁠שֵׁ֔ם וְ⁠גַם־מָצָ֥אתָ חֵ֖ן בְּ⁠עֵינָֽ⁠י	1
EXO	34:10	zwsm	your people	0
EXO	34:16	jaic	you will eat some of his sacrifice	0
EXO	34:17	lgab	you will eat some of his sacrifice	0
EXO	34:20	sbrs	buy back	0
EXO	34:22	lhxb	Festival of Ingathering	0
EXO	34:26	bv0a	the blood of my sacrifice	0
EXO	34:34	fzm1	he would remove	0
EXO	35:5-19	ugn4	וַ⁠יֹּ֣אמֶר מֹשֶׁ֔ה אֶל־כָּל־עֲדַ֥ת בְּנֵֽי־יִשְׂרָאֵ֖ל לֵ⁠אמֹ֑ר זֶ֣ה הַ⁠דָּבָ֔ר אֲשֶׁר־צִוָּ֥ה יְהוָ֖ה לֵ⁠אמֹֽר	1
EXO	35:10	ugjb	Every skilled man	0
EXO	35:12	rj7s	atonement lid	0
EXO	35:14	obmd	bread of the presence	0
EXO	35:16	h116	bronze grate	0
EXO	35:19	x1pc	finely-woven garments	0
EXO	35:22	yzsw	ל׀ נְדִ֣יב	1
EXO	35:23	s3ky	Everyone who had … brought them	0
EXO	35:27	f13n	The leaders brought … breastpiece	0
EXO	35:28	h3a1	they brought spices … fragrant incense	0
EXO	35:29	hqle	whose heart was willing	0
EXO	35:30	z1e2	Bezalel son of Uri son of Hur, from the tribe of Judah	0
EXO	35:31	zd74	filled Bezalel … craftsmanship	0
EXO	35:32	r7e3	to make artistic designs … bronze	0
EXO	35:33	fj6f	also to cut and set stones … craftsmanship	0
EXO	35:35	ehu7	filled them with skill	0
EXO	38:26	rp46	one hundred talents	0
EXO	38:28	rcda	Bezalel	0
EXO	39:1	h8kg	as Yahweh had commanded Moses	0
EXO	39:10	m54c	They set in it	0
EXO	39:11	qx96	an emerald, a sapphire, and a diamond	0
EXO	39:12	kk8t	a jacinth, an agate, and an amethyst	0
EXO	39:13	l9wa	a beryl, an onyx, and a jasper	0
EXO	39:28	um4e	turban	0
EXO	39:29	hn5g	sash	0
EXO	39:33	ri54	So the work on the Dwelling, the tent of meeting, was finished. The people of Israel did everything	0
EXO	39:33	y9ym	clasps	0
EXO	39:35	i7d9	atonement lid	0
EXO	39:36	knn8	bread of the presence	0
EXO	39:37-38	nzph	bread of the presence	0
EXO	39:39	e755	grate	0
EXO	39:41	z3ip	the Dwelling, the tent of meeting	0
EXO	39:42	ct6k	Thus the people	0
EXO	39:43	z79s	As Yahweh had commanded, in that way they did it	0
